Entrez,Symbol,Synonyms
271,AMPD2,PCH9|SPG63
272,AMPD3,-
273,AMPH,AMPH1
274,BIN1,AMPH2|AMPHL|CNM2|SH3P9
275,AMT,GCE|GCST|GCVT|NKH
276,AMY1A,AMY1
279,AMY2A,AMY2|PA
280,AMY2B,AMY2|AMY3|HXA
283,ANG,ALS9|HEL168|RAA1|RNASE4|RNASE5
284,ANGPT1,AGP1|AGPT|ANG1
285,ANGPT2,AGPT2|ANG2
286,ANK1,ANK|SPH1|SPH2
287,ANK2,ANK-2|LQT4|brank-2
288,ANK3,ANKYRIN-G|MRT37
290,ANPEP,APN|CD13|GP150|LAP1|P150|PEPN
291,SLC25A4,AAC1|ANT|ANT 1|ANT1|MTDPS12|MTDPS12A|PEO2|PEO3|PEOA2|T1
292,SLC25A5,2F1|AAC2|ANT2|T2|T3
293,SLC25A6,AAC3|ANT|ANT 2|ANT 3|ANT3|ANT3Y
301,ANXA1,ANX1|LPC1
302,ANXA2,ANX2|ANX2L4|CAL1H|HEL-S-270|LIP2|LPC2|LPC2D|P36|PAP-IV
303,ANXA2P1,ANX2L1|ANX2P1|LPC2A
305,ANXA2P3,ANX2L3|ANX2P3|LIP2|LPC2C
306,ANXA3,ANX3
307,ANXA4,ANX4|HEL-S-274|P32.5|PAP-II|PIG28|PP4-X|ZAP36
308,ANXA5,ANX5|ENX2|HEL-S-7|PP4|RPRGL3
309,ANXA6,ANX6|CBP68
310,ANXA7,ANX7|SNX|SYNEXIN
311,ANXA11,ANX11|CAP-50|CAP50
312,ANXA13,ANX13|ISA
313,AOAH,-
314,AOC2,DAO2|RAO|SSAO
316,AOX1,AO|AOH1
317,APAF1,APAF-1|CED4
318,NUDT2,APAH1
319,APOF,Apo-F|LTIP
320,APBA1,D9S411E|LIN10|MINT1|X11|X11A|X11ALPHA
321,APBA2,D15S1518E|HsT16821|LIN-10|MGC:14091|MINT2|X11-BETA|X11L
322,APBB1,FE65|MGC:9072|RIR
323,APBB2,FE65L|FE65L1
324,APC,BTPS2|DP2|DP2.5|DP3|GS|PPP1R46
325,APCS,HEL-S-92n|PTX2|SAP
326,AIRE,AIRE1|APECED|APS1|APSI|PGA1
327,APEH,AARE|ACPH|APH|D3F15S2|D3S48E|DNF15S2|OPH
328,APEX1,APE|APE1|APEN|APEX|APX|HAP1|REF1
329,BIRC2,API1|HIAP2|Hiap-2|MIHB|RNF48|c-IAP1|cIAP1
330,BIRC3,AIP1|API2|CIAP2|HAIP1|HIAP1|MALT2|MIHC|RNF49|c-IAP2
331,XIAP,API3|BIRC4|IAP-3|ILP1|MIHA|XLP2|hIAP-3|hIAP3
332,BIRC5,API4|EPR-1
333,APLP1,APLP
334,APLP2,APLP-2|APPH|APPL2|CDEBP
335,APOA1,apo(a)
336,APOA2,Apo-AII|ApoA-II|apoAII
337,APOA4,-
338,APOB,FLDB|LDLCQ4|apoB-100|apoB-48
339,APOBEC1,APOBEC-1|BEDP|CDAR1|HEPR
341,APOC1,Apo-CI|ApoC-I|apo-CIB|apoC-IB
343,AQP8,AQP-8
344,APOC2,APO-CII|APOC-II
345,APOC3,APOCIII
346,APOC4,APO-CIV|APOC-IV
347,APOD,-
348,APOE,AD2|APO-E|ApoE4|LDLCQ5|LPG
350,APOH,B2G1|B2GP1|BG
351,APP,AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2|preA4
353,APRT,AMP|APRTD
354,KLK3,APS|KLK2A1|PSA|hK3
355,FAS,ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6
356,FASLG,ALPS1B|APT1LG1|APTL|CD178|CD95-L|CD95L|FASL|TNFSF6|TNLG1A
357,SHROOM2,APXL|HSAPXL
358,AQP1,AQP-CHIP|CHIP28|CO
359,AQP2,AQP-CD|WCH-CD
360,AQP3,AQP-3|GIL
361,AQP4,MIWC|WCH4
362,AQP5,AQP-5|PPKB
363,AQP6,AQP2L|KID
364,AQP7,AQP7L|AQPap|GLYCQTL
366,AQP9,AQP-9|HsT17287|SSC1|T17287
367,AR,AIS|AR8|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM
368,ABCC6,ABC34|ARA|EST349056|GACI2|MLP1|MOAT-E|MOATE|MRP6|PXE|PXE1|URG7
369,ARAF,A-RAF|ARAF1|PKS2|RAFA1
372,ARCN1,COPD|SRMMD
373,TRIM23,ARD1|ARFD1|RNF46
374,AREG,AR|AREGB|CRDGF|SDGF
375,ARF1,-
377,ARF3,-
378,ARF4,ARF2
379,ARL4D,ARF4L|ARL6
381,ARF5,-
382,ARF6,-
383,ARG1,-
384,ARG2,-
387,RHOA,ARH12|ARHA|RHO12|RHOH12
388,RHOB,ARH6|ARHB|MST081|MSTP081|RHOH6
389,RHOC,ARH9|ARHC|H9|RHOH9
390,RND3,ARHE|Rho8|RhoE|memB
391,RHOG,ARHG
392,ARHGAP1,CDC42GAP|RHOGAP|RHOGAP1|p50rhoGAP
393,ARHGAP4,C1|RGC1|RhoGAP4|SrGAP4|p115
394,ARHGAP5,GFI2|RhoGAP5|p190-B|p190BRhoGAP
395,ARHGAP6,RHOGAP6|RHOGAPX-1
396,ARHGDIA,GDIA1|HEL-S-47e|NPHS8|RHOGDI|RHOGDI-1
397,ARHGDIB,D4|GDIA2|GDID4|LYGDI|Ly-GDI|RAP1GN1|RhoGDI2
398,ARHGDIG,RHOGDI-3
399,RHOH,ARHH|TTF
400,ARL1,ARFL1
401,PHOX2A,ARIX|CFEOM2|FEOM2|NCAM2|PMX2A
402,ARL2,ARFL2
403,ARL3,ARFL3
405,ARNT,HIF-1-beta|HIF-1beta|HIF1-beta|HIF1B|HIF1BETA|TANGO|bHLHe2
406,ARNTL,BMAL1|BMAL1c|JAP3|MOP3|PASD3|TIC|bHLHe5
407,ARR3,ARRX|MYP26|cArr
408,ARRB1,ARB1|ARR1
409,ARRB2,ARB2|ARR2|BARR2
410,ARSA,MLD
411,ARSB,ASB|G4S|MPS6
412,STS,ARSC|ARSC1|ASC|ES|SSDD|XLI
414,ARSD,ASD
415,ARSE,ASE|CDPX|CDPX1|CDPXR
416,ARSF,ASF
417,ART1,ART2|ARTC1|CD296|RT6
419,ART3,ARTC3
420,ART4,ARTC4|CD297|DO|DOK1
421,ARVCF,-
427,ASAH1,AC|ACDase|ASAH|PHP|PHP32|SMAPME
429,ASCL1,ASH1|HASH1|MASH1|bHLHa46
430,ASCL2,ASH2|HASH2|MASH2|bHLHa45
432,ASGR1,ASGPR|ASGPR1|CLEC4H1|HL-1
433,ASGR2,ASGP-R2|ASGPR2|CLEC4H2|HBXBP|HL-2
434,ASIP,AGSW|AGTI|AGTIL|ASP|SHEP9
435,ASL,ASAL
438,ASMT,ASMTY|HIOMT|HIOMTY
439,ASNA1,ARSA-I|ARSA1|ASNA-I|GET3|TRC40
440,ASNS,ASNSD|TS11
443,ASPA,ACY2|ASP
444,ASPH,AAH|BAH|CASQ2BP1|FDLAB|HAAH|JCTN|junctin
445,ASS1,ASS|CTLN1
460,ASTN1,ASTN
462,SERPINC1,AT3|AT3D|ATIII|THPH7
463,ZFHX3,ATBF1|ATBT|ZNF927
466,ATF1,EWS-ATF1|FUS/ATF-1|TREB36
467,ATF3,-
468,ATF4,CREB-2|CREB2|TAXREB67|TXREB
471,ATIC,AICAR|AICARFT|HEL-S-70p|IMPCHASE|PURH
472,ATM,AT1|ATA|ATC|ATD|ATDC|ATE|TEL1|TELO1
473,RERE,ARG|ARP|ATN1L|DNB1|NEDBEH
474,ATOH1,ATH1|HATH1|MATH-1|bHLHa14
475,ATOX1,ATX1|HAH1
476,ATP1A1,-
477,ATP1A2,FHM2|MHP2
478,ATP1A3,AHC2|ATP1A1|CAPOS|DYT12|RDP
479,ATP12A,ATP1AL1|HK
480,ATP1A4,ATP1A1|ATP1AL2
481,ATP1B1,ATP1B
482,ATP1B2,AMOG
483,ATP1B3,ATPB-3|CD298
486,FXYD2,ATP1G1|HOMG2
487,ATP2A1,ATP2A|SERCA1
488,ATP2A2,ATP2B|DAR|DD|SERCA2
489,ATP2A3,SERCA3
490,ATP2B1,PMCA1|PMCA1kb
491,ATP2B2,PMCA2|PMCA2a|PMCA2i
